,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
160,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,8,23.061621950939298,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
161,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,9,23.294974858872592,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
162,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,1,20.216849671909586,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
163,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,2,20.35361154191196,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
164,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,3,20.07983956602402,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
165,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,4,20.42960259388201,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
166,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,5,20.535066490992904,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
167,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,6,20.406379477120936,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
168,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,7,20.218782941810787,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
169,WLStarLearner,random_PDFA_nominal_size_200_8_8,204,204,8,22.13613112596795,3343,5,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
