,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
113,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,6,2.7184069079812616,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
114,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,7,2.6618676870130002,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
115,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,8,2.6565376379876398,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
116,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,9,2.672514764009975,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
117,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,1,2.763351799978409,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
118,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,2,2.7551298799808137,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
119,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,3,2.78165126600652,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
120,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,4,2.7424701859999914,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
121,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,5,2.7663266210001893,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
122,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,6,2.7782592609873973,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
123,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,7,2.755442141991807,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
124,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,8,2.7710474219929893,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
125,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,9,3.0327149049844593,811,2,205.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
126,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,1,1.9580521690077148,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
127,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,2,2.017044125997927,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
128,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,3,1.9930210029997397,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
129,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,4,1.9591912610048894,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
130,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,5,1.9894103860133328,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
131,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,6,1.9763318540062755,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
132,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,7,2.017617851990508,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
133,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,8,1.976621359004639,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
134,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,9,2.044417107012123,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
135,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,1,2.004210710991174,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
136,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,2,2.0146965729945805,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
137,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,3,2.1478776459989604,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
138,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,4,1.9870062669797335,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
139,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,5,1.9928771479753777,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
140,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,6,2.0173797579773236,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
141,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,7,1.9334736680029891,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
142,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,8,2.007143127004383,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
143,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,9,1.9632573859998956,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
144,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,1,1.9506940339924768,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
145,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,2,1.9598395739740226,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
146,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,3,1.961562470998615,606,1,205.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
